Product_Number,DateTime,date,demand_T,demand_last_year,Temperature,Humidity,DoW,date_dt,dow_num,month,weekofmonth,lag_1,lag_7,roll_3_mean,roll_7_mean,product_id
Product_84,2022-02-02 06:29:00,2022-02-02,0,0,9.003850932,24.23149068,Wednesday,2022-02-02,2,2,1,0.0,0.0,0.0,0.0,0
Product_84,2022-02-03 06:31:00,2022-02-03,0,0,9.169761905,18.76190476,Thursday,2022-02-03,3,2,1,0.0,0.0,0.0,0.0,0
Product_84,2022-02-04 06:33:00,2022-02-04,0,0,13.86566667,11.53,Friday,2022-02-04,4,2,1,0.0,0.0,0.0,0.0,0
Product_84,2022-02-05 06:35:00,2022-02-05,0,0,13.41,14.03086957,Saturday,2022-02-05,5,2,1,0.0,0.0,0.0,0.0,0
Product_84,2022-02-06 06:33:00,2022-02-06,0,0,10.74317992,15.46050209,Sunday,2022-02-06,6,2,1,0.0,0.0,0.0,0.0,0
Product_84,2022-02-07 15:38:00,2022-02-07,0,0,8.561219512,22.85243902,Monday,2022-02-07,0,2,2,0.0,0.0,0.0,0.0,0
Product_84,2022-02-08 06:28:00,2022-02-08,0,0,13.43014085,12.98084507,Tuesday,2022-02-08,1,2,2,0.0,0.0,0.0,0.0,0
Product_84,2022-02-09 12:58:00,2022-02-09,0,0,8.872222222,23.94111111,Wednesday,2022-02-09,2,2,2,0.0,0.0,0.0,0.0,0
Product_84,2022-02-10 18:00:00,2022-02-10,0,0,14.10637367,28.37485424,Thursday,2022-02-10,3,2,2,0.0,0.0,0.0,0.0,0
Product_84,2022-02-11 11:58:00,2022-02-11,0,1,12.86730769,19.14115385,Friday,2022-02-11,4,2,2,0.0,0.0,0.0,0.0,0
Product_84,2022-02-12 17:34:00,2022-02-12,0,1,12.16421053,30.45789474,Saturday,2022-02-12,5,2,2,0.0,0.0,0.0,0.0,0
Product_84,2022-02-14 07:08:00,2022-02-14,0,6,15.194,37.7588,Monday,2022-02-14,0,2,3,0.0,0.0,0.0,0.0,0
Product_84,2022-02-15 08:35:00,2022-02-15,0,1,16.93821429,23.9175,Tuesday,2022-02-15,1,2,3,0.0,0.0,0.0,0.0,0
Product_84,2022-02-16 07:03:00,2022-02-16,0,1,12.67357143,13.08071429,Wednesday,2022-02-16,2,2,3,0.0,0.0,0.0,0.0,0
Product_84,2022-02-17 16:30:00,2022-02-17,0,1,10.44060606,12.1330303,Thursday,2022-02-17,3,2,3,0.0,0.0,0.0,0.0,0
Product_84,2022-02-18 10:29:00,2022-02-18,0,0,12.20880499,19.34153389,Friday,2022-02-18,4,2,3,0.0,0.0,0.0,0.0,0
Product_84,2022-02-19 18:34:00,2022-02-19,7,0,13.72509434,27.18867925,Saturday,2022-02-19,5,2,3,0.0,0.0,0.0,0.0,0
Product_84,2022-02-20 17:32:00,2022-02-20,5,4,10.45040816,20.37428571,Sunday,2022-02-20,6,2,3,7.0,0.0,2.3333333333333335,1.0,0
Product_84,2022-02-21 15:05:00,2022-02-21,1,0,8.996181818,11.62236364,Monday,2022-02-21,0,2,4,5.0,0.0,4.0,1.7142857142857142,0
Product_84,2022-02-22 07:05:00,2022-02-22,1,0,14.53931507,15.87356164,Tuesday,2022-02-22,1,2,4,1.0,0.0,4.333333333333333,1.8571428571428572,0
Product_84,2022-02-23 06:29:00,2022-02-23,1,0,11.64701493,16.43373134,Wednesday,2022-02-23,2,2,4,1.0,0.0,2.3333333333333335,2.0,0
Product_84,2022-02-24 06:28:00,2022-02-24,1,0,10.90306122,12.60530612,Thursday,2022-02-24,3,2,4,1.0,0.0,1.0,2.142857142857143,0
Product_84,2022-02-25 11:34:00,2022-02-25,3,0,13.66616438,12.7109589,Friday,2022-02-25,4,2,4,1.0,0.0,1.0,2.2857142857142856,0
Product_84,2022-02-26 12:38:00,2022-02-26,1,0,14.05785714,20.79178571,Saturday,2022-02-26,5,2,4,3.0,7.0,1.6666666666666667,2.7142857142857144,0
Product_84,2022-02-27 16:30:00,2022-02-27,0,0,16.35078947,25.96671053,Sunday,2022-02-27,6,2,4,1.0,5.0,1.6666666666666667,1.8571428571428572,0
Product_84,2022-02-28 15:34:00,2022-02-28,0,0,12.18428571,21.08571429,Monday,2022-02-28,0,2,5,0.0,1.0,1.3333333333333333,1.1428571428571428,0
