Product_Number,T일 예정 수주량,T+1일 예정 수주량,T+2일 예정 수주량,T+3일 예정 수주량,T+4일 예정 수주량,작년 T일 예정 수주량,작년 T+1일 예정 수주량,작년 T+2일 예정 수주량,작년 T+3일 예정 수주량,작년 T+4일 예정 수주량,Date,Temperature,Humidity
Product_86,616,560,590,588,532,0,0,451,523,533,2022-01-26,12.837,35.814
Product_86,600,589,582,555,0,0,445,514,560,459,2022-01-27,10.601,30.047
Product_86,621,581,526,0,0,446,494,548,492,0,2022-01-28,12.715,21.402
Product_86,636,558,0,0,449,508,511,504,341,0,2022-01-29,13.314,12.472
Product_86,632,0,0,0,0,0,0,0,0,0,2022-01-30,9.106,17.953
Product_86,632,0,0,0,0,0,0,0,0,0,2022-01-31,9.184,14.94
Product_86,632,0,0,0,0,0,0,0,0,0,2022-02-01,8.191,19.415
Product_86,632,0,0,0,0,0,0,0,0,0,2022-02-02,9.004,24.231
Product_86,632,0,0,0,0,0,0,0,0,0,2022-02-03,9.17,18.762
Product_86,632,0,0,0,0,0,0,0,0,0,2022-02-04,13.866,11.53
Product_86,632,0,0,0,0,0,0,0,0,0,2022-02-05,13.41,14.031
Product_86,632,0,0,0,0,0,0,0,0,0,2022-02-06,10.743,15.461
Product_86,632,0,0,0,0,0,0,0,0,0,2022-02-07,8.561,22.852
Product_86,632,0,0,0,0,0,0,0,0,0,2022-02-08,13.43,12.981
Product_86,641,488,489,426,412,351,0,460,431,428,2022-02-09,8.872,23.941
Product_86,523,480,477,412,0,0,337,394,442,437,2022-02-10,14.106,28.375
Product_86,555,506,413,0,0,317,395,445,436,382,2022-02-11,12.867,19.141
Product_86,609,411,0,0,323,399,453,430,371,449,2022-02-12,12.164,30.458
Product_86,529,0,0,307,379,456,466,384,474,0,2022-02-14,15.194,37.759
Product_86,0,0,391,351,451,467,395,448,0,561,2022-02-15,16.938,23.918
Product_86,0,0,391,351,451,467,395,448,0,561,2022-02-16,12.674,13.081
Product_86,392,350,452,466,397,447,0,561,552,524,2022-02-17,10.441,12.133
Product_86,391,459,475,375,423,0,0,571,628,587,2022-02-18,12.209,19.342
Product_86,531,458,376,409,0,0,587,616,587,598,2022-02-19,13.725,27.189
